Team,Trial,Modality,Chart Type,Task Type,Task Number,Start Time,Time Separate,Gestures Rate Separate,Looks Rate Separate,Utterances Rate Separate,Time Mixed,Gestures Rate Mixed,Looks Rate Mixed,Utterances Rate Mixed,Time Same,Gestures Rate Same,Looks Rate Same,Utterances Rate Same
1,1,Hololens,ScatterPlot,Closed,T1,10/22/2020 7:43:53 AM,40.5,0.37037037037037035,0.024691358024691357,0.4444444444444444,54,0.24074074074074073,0.05555555555555555,0.25925925925925924,27,0.3333333333333333,0.3333333333333333,0.25925925925925924
1,2,Hololens,Network,Open,T12,10/22/2020 7:49:29 AM,42.5,0.07058823529411765,0.047058823529411764,0.047058823529411764,44,0.1590909090909091,0,0.13636363636363635,34.5,0.057971014492753624,0.057971014492753624,0
1,3,Hololens,BarChart,Closed,T5,10/22/2020 7:53:55 AM,18,0.3333333333333333,0,0.2777777777777778,24,0.041666666666666664,0.041666666666666664,0.4583333333333333,0,NaN,NaN,NaN
1,4,Hololens,ScatterPlot,Open,T3,10/22/2020 7:55:56 AM,12.5,0,0,0.08,19,0.10526315789473684,0,0.21052631578947367,32,0.125,0.125,0.25
1,5,Hololens,Network,Closed,T10,10/22/2020 7:58:11 AM,22.5,0.35555555555555557,0.044444444444444446,0.26666666666666666,14,0.14285714285714285,0,0.14285714285714285,84.5,0.2485207100591716,0.08284023668639054,0.15384615384615385
1,6,Hololens,BarChart,Closed,T6,10/22/2020 8:01:11 AM,23,0.34782608695652173,0.08695652173913043,0.5217391304347826,3,1,0,1.6666666666666667,0,NaN,NaN,NaN
1,7,Hololens,ScatterPlot,Open,T4,10/22/2020 8:02:59 AM,11.5,0,0,0.08695652173913043,27,0.37037037037037035,0.14814814814814814,0.2222222222222222,82.5,0.10909090909090909,0.10909090909090909,0.2545454545454545
1,8,Hololens,Network,Open,T11,10/22/2020 8:05:59 AM,21.5,0.18604651162790697,0,0.27906976744186046,60.5,0.1652892561983471,0,0.23140495867768596,39,0.1794871794871795,0.05128205128205128,0.28205128205128205
1,9,Hololens,Network,Closed,T9,10/22/2020 8:09:42 AM,15.5,0.3225806451612903,0,0,57,0.21052631578947367,0.03508771929824561,0.017543859649122806,48.5,0.2268041237113402,0.020618556701030927,0.061855670103092786
1,10,Hololens,BarChart,Open,T7,10/22/2020 8:13:06 AM,10,0,0,0,18,0.1111111111111111,0,0.1111111111111111,48.5,0.08247422680412371,0,0.12371134020618557
1,11,Hololens,BarChart,Open,T8,10/22/2020 8:16:48 AM,0,NaN,NaN,âˆž,8,0.25,0,0.125,39.5,0.35443037974683544,0.05063291139240506,0.25316455696202533
1,12,Hololens,ScatterPlot,Closed,T2,10/22/2020 8:18:18 AM,13.5,0.37037037037037035,0,0.4444444444444444,5,0.2,0,0,21,0.14285714285714285,0.09523809523809523,0.38095238095238093
2,1,Hololens,Network,Closed,T9,10/23/2020 9:14:29 PM,26,0.07692307692307693,0,0.07692307692307693,11,0.18181818181818182,0,0.09090909090909091,42,0.09523809523809523,0.19047619047619047,0.09523809523809523
2,2,Hololens,BarChart,Open,T7,10/23/2020 9:17:34 PM,32,0.375,0.03125,0.1875,6,0,0,0,42,0.14285714285714285,0.07142857142857142,0.14285714285714285
2,3,Hololens,ScatterPlot,Closed,T1,10/23/2020 9:20:11 PM,49,0.14285714285714285,0.10204081632653061,0.2653061224489796,30,0.1,0.03333333333333333,0.1,18.5,0.43243243243243246,0.05405405405405406,0.3783783783783784
2,4,Hololens,ScatterPlot,Closed,T2,10/23/2020 9:22:38 PM,9.5,0.3157894736842105,0,0.21052631578947367,0,NaN,NaN,NaN,0,NaN,NaN,NaN
2,5,Hololens,BarChart,Closed,T5,10/23/2020 9:23:21 PM,10,0.4,0,0.3,12,0.25,0.08333333333333333,0.3333333333333333,23,0.21739130434782608,0.2608695652173913,0.17391304347826086
2,6,Hololens,BarChart,Open,T8,10/23/2020 9:24:50 PM,5,0.2,0,0.4,12.5,0.24,0.16,0,17,0.47058823529411764,0.23529411764705882,0.11764705882352941
2,7,Hololens,Network,Open,T12,10/23/2020 9:26:04 PM,4,0,0.5,0.25,8,0.25,0.125,0.25,37.5,0.3466666666666667,0.08,0.13333333333333333
2,8,Hololens,ScatterPlot,Open,T3,10/23/2020 9:27:29 PM,16,0.1875,0.1875,0.3125,35,0.14285714285714285,0,0.17142857142857143,3.5,0,0,0.2857142857142857
2,9,Hololens,BarChart,Closed,T6,10/23/2020 9:28:59 PM,11,0.18181818181818182,0,0.18181818181818182,21,0.14285714285714285,0.09523809523809523,0.3333333333333333,3,0.3333333333333333,0,0
2,10,Hololens,ScatterPlot,Open,T4,10/23/2020 9:30:26 PM,6.5,0.3076923076923077,0.15384615384615385,0.15384615384615385,20,0.2,0,0,65.5,0.2748091603053435,0.1984732824427481,0.16793893129770993
2,11,Hololens,Network,Open,T11,10/23/2020 9:33:48 PM,25,0.48,0.08,0.28,9,0.1111111111111111,0,0.2222222222222222,11,0.36363636363636365,0,0
2,12,Hololens,Network,Closed,T10,10/23/2020 9:35:16 PM,17.5,0.22857142857142856,0,0.05714285714285714,17.5,0.17142857142857143,0.05714285714285714,0.2857142857142857,14,0.2857142857142857,0.07142857142857142,0.21428571428571427
3,1,Hololens,ScatterPlot,Open,T3,10/24/2020 1:15:02 PM,49.5,0.26262626262626265,0.020202020202020204,0.08080808080808081,45.5,0.2857142857142857,0.02197802197802198,0.17582417582417584,26,0.038461538461538464,0.11538461538461539,0
3,2,Hololens,BarChart,Closed,T6,10/24/2020 1:19:01 PM,6,0,0,0.3333333333333333,9.5,0.21052631578947367,0.10526315789473684,0.42105263157894735,22,0.3181818181818182,0.18181818181818182,0.3181818181818182
3,3,Hololens,ScatterPlot,Closed,T1,10/24/2020 1:20:43 PM,75.5,0.26490066225165565,0.052980132450331126,0.2251655629139073,29,0.13793103448275862,0.10344827586206896,0.20689655172413793,2.5,0,0,0
3,4,Hololens,BarChart,Open,T7,10/24/2020 1:23:14 PM,32,0.25,0.03125,0.125,9,0,0.1111111111111111,0.1111111111111111,7,0,0.2857142857142857,0.14285714285714285
3,5,Hololens,Network,Closed,T10,10/24/2020 1:25:22 PM,63,0.2222222222222222,0.06349206349206349,0.14285714285714285,21,0.23809523809523808,0.047619047619047616,0.23809523809523808,37,0.05405405405405406,0.08108108108108109,0.08108108108108109
3,6,Hololens,BarChart,Closed,T5,10/24/2020 1:29:01 PM,18,0.2777777777777778,0.7222222222222222,0.16666666666666666,39.5,0.12658227848101267,0.17721518987341772,0.379746835443038,27.5,0.07272727272727272,0.21818181818181817,0.10909090909090909
3,7,Hololens,ScatterPlot,Closed,T2,10/24/2020 1:31:30 PM,8,0,0,0.25,11.5,0.2608695652173913,0,0.17391304347826086,28,0.35714285714285715,0.35714285714285715,0.25
3,8,Hololens,Network,Open,T12,10/24/2020 1:33:43 PM,24,0.08333333333333333,0.125,0.16666666666666666,11,0,0.09090909090909091,0,40.5,0.12345679012345678,0.2222222222222222,0.07407407407407407
3,9,Hololens,Network,Closed,T9,10/24/2020 1:36:24 PM,39.5,0.17721518987341772,0.0759493670886076,0.1518987341772152,67.5,0.2814814814814815,0.014814814814814815,0.1925925925925926,14,0.2857142857142857,0.07142857142857142,0.21428571428571427
3,10,Hololens,BarChart,Open,T8,10/24/2020 1:39:19 PM,18.5,0.10810810810810811,0.10810810810810811,0.32432432432432434,13.5,0.37037037037037035,0.07407407407407407,0.4444444444444444,40.5,0.345679012345679,0.2716049382716049,0.2962962962962963
3,11,Hololens,ScatterPlot,Open,T4,10/24/2020 1:41:28 PM,23.5,0.2978723404255319,0.0425531914893617,0.0851063829787234,14.5,0.06896551724137931,0,0.20689655172413793,51,0.11764705882352941,0.17647058823529413,0.21568627450980393
3,12,Hololens,Network,Open,T11,10/24/2020 1:43:28 PM,28,0.2857142857142857,0.03571428571428571,0.21428571428571427,8.5,0.11764705882352941,0.11764705882352941,0.23529411764705882,33.5,0.11940298507462686,0.14925373134328357,0.1791044776119403
4,1,Hololens,BarChart,Open,T7,10/24/2020 2:23:58 PM,25,0.04,0.04,0,28,0.07142857142857142,0.03571428571428571,0.07142857142857142,38.5,0.1038961038961039,0.025974025974025976,0.05194805194805195
4,2,Hololens,Network,Closed,T10,10/24/2020 2:27:59 PM,61.5,0.2926829268292683,0.016260162601626018,0.22764227642276422,51,0.27450980392156865,0,0.21568627450980393,8.5,0.23529411764705882,0.11764705882352941,0.23529411764705882
4,3,Hololens,BarChart,Open,T8,10/24/2020 2:32:27 PM,74,0.3783783783783784,0.16216216216216217,0.24324324324324326,28,0.35714285714285715,0.07142857142857142,0.21428571428571427,7.5,0,0,0
4,4,Hololens,BarChart,Closed,T5,10/24/2020 2:35:23 PM,15.5,0.3225806451612903,0.25806451612903225,0.25806451612903225,14,0.42857142857142855,0.14285714285714285,0.42857142857142855,1,0,1,0
4,5,Hololens,Network,Open,T11,10/24/2020 2:36:31 PM,30,0.1,0.1,0.2,50.5,0.25742574257425743,0.1188118811881188,0.1782178217821782,40.5,0.2716049382716049,0.07407407407407407,0.14814814814814814
4,6,Hololens,Network,Open,T12,10/24/2020 2:39:48 PM,67,0.2537313432835821,0.04477611940298507,0.13432835820895522,39.5,0.35443037974683544,0.0759493670886076,0.20253164556962025,14.5,0.13793103448275862,0.3448275862068966,0.06896551724137931
4,7,Hololens,Network,Closed,T9,10/24/2020 2:43:17 PM,73,0.3150684931506849,0.0136986301369863,0.2602739726027397,48,0.2708333333333333,0.08333333333333333,0.20833333333333334,0,NaN,NaN,NaN
4,8,Hololens,ScatterPlot,Closed,T1,10/24/2020 2:46:28 PM,45.5,0.24175824175824176,0.06593406593406594,0.2857142857142857,30,0.26666666666666666,0.06666666666666667,0.3,1,0,0,0
4,9,Hololens,ScatterPlot,Open,T3,10/24/2020 2:48:45 PM,41.5,0.3132530120481928,0.04819277108433735,0.3373493975903614,18.5,0.16216216216216217,0.10810810810810811,0.16216216216216217,8.5,0.11764705882352941,0.35294117647058826,0.23529411764705882
4,10,Hololens,ScatterPlot,Closed,T2,10/24/2020 2:50:31 PM,46,0.2826086956521739,0.13043478260869565,0.3695652173913043,29.5,0.2711864406779661,0.13559322033898305,0.23728813559322035,7.5,0,0.13333333333333333,0
4,11,Hololens,BarChart,Closed,T6,10/24/2020 2:52:32 PM,27.5,0.4,0.14545454545454545,0.43636363636363634,18.5,0.2702702702702703,0.05405405405405406,0.2702702702702703,3,0.3333333333333333,0,0
4,12,Hololens,ScatterPlot,Open,T4,10/24/2020 2:54:37 PM,85.5,0.2222222222222222,0.07017543859649122,0.3391812865497076,32,0.28125,0.0625,0.3125,0,NaN,NaN,NaN
5,1,Hololens,BarChart,Open,T7,10/30/2020 4:17:52 PM,59,0.3389830508474576,0.05084745762711865,0.3389830508474576,16.5,0.36363636363636365,0,0.30303030303030304,8.5,0.11764705882352941,0.11764705882352941,0
5,2,Hololens,ScatterPlot,Open,T3,10/30/2020 4:23:07 PM,34.5,0.2028985507246377,0.11594202898550725,0.17391304347826086,20,0.1,0.05,0.15,60.5,0.1322314049586777,0.19834710743801653,0.18181818181818182
5,3,Hololens,Network,Closed,T10,10/30/2020 4:26:00 PM,35,0.17142857142857143,0.05714285714285714,0.2,19,0.05263157894736842,0,0.10526315789473684,61,0.16393442622950818,0.13114754098360656,0.08196721311475409
5,4,Hololens,BarChart,Open,T8,10/30/2020 4:30:15 PM,42,0.2857142857142857,0.14285714285714285,0.21428571428571427,4.5,0,0,0.2222222222222222,22,0.18181818181818182,0.22727272727272727,0.22727272727272727
5,5,Hololens,Network,Open,T12,10/30/2020 4:32:13 PM,18.5,0.2702702702702703,0.32432432432432434,0.10810810810810811,19,0.10526315789473684,0.05263157894736842,0.05263157894736842,84,0.16666666666666666,0.14285714285714285,0.08333333333333333
5,6,Hololens,BarChart,Closed,T5,10/30/2020 4:35:04 PM,3,0.6666666666666666,0,0.6666666666666666,0,NaN,NaN,NaN,0,NaN,NaN,NaN
5,7,Hololens,ScatterPlot,Closed,T1,10/30/2020 4:36:06 PM,14.5,0.27586206896551724,0.06896551724137931,0.41379310344827586,12.5,0.32,0,0.16,0,NaN,NaN,NaN
5,8,Hololens,ScatterPlot,Open,T4,10/30/2020 4:37:48 PM,8,0,0.125,0.125,16,0,0.1875,0.125,30.5,0.13114754098360656,0.09836065573770492,0.19672131147540983
5,9,Hololens,BarChart,Closed,T6,10/30/2020 4:39:32 PM,21.5,0.5581395348837209,0.37209302325581395,0.6046511627906976,10.5,0.6666666666666666,0.09523809523809523,0.8571428571428571,3,0.3333333333333333,0.3333333333333333,0
5,10,Hololens,Network,Closed,T9,10/30/2020 4:42:17 PM,13,0.3076923076923077,0.23076923076923078,0.07692307692307693,20.5,0.24390243902439024,0,0,72,0.1388888888888889,0.09722222222222222,0.06944444444444445
5,11,Hololens,ScatterPlot,Closed,T2,10/30/2020 4:45:00 PM,37,0.4594594594594595,0.24324324324324326,0.40540540540540543,8,0.25,0.25,0.375,55,0.21818181818181817,0.10909090909090909,0.16363636363636364
5,12,Hololens,Network,Open,T11,10/30/2020 4:47:43 PM,27,0.25925925925925924,0.1111111111111111,0.07407407407407407,9.5,0.10526315789473684,0.10526315789473684,0.21052631578947367,21.5,0.09302325581395349,0.18604651162790697,0.09302325581395349
6,1,Hololens,Network,Open,T12,11/2/2020 5:21:28 PM,15,0.26666666666666666,0,0.26666666666666666,8,0.375,0.125,0.25,51,0.3333333333333333,0.1568627450980392,0.27450980392156865
6,2,Hololens,ScatterPlot,Open,T3,11/2/2020 5:24:21 PM,40.5,0.1728395061728395,0.024691358024691357,0.12345679012345678,30,0.16666666666666666,0,0.2,38,0.3157894736842105,0.18421052631578946,0.23684210526315788
6,3,Hololens,BarChart,Closed,T6,11/2/2020 5:26:57 PM,27,0.3333333333333333,0.07407407407407407,0.2222222222222222,13.5,0.4444444444444444,0,0.2962962962962963,22.5,0.26666666666666666,0.08888888888888889,0.2222222222222222
6,4,Hololens,ScatterPlot,Closed,T2,11/2/2020 5:29:10 PM,11.5,0.08695652173913043,0,0.17391304347826086,21.5,0.046511627906976744,0.13953488372093023,0.13953488372093023,70.5,0.2127659574468085,0.2127659574468085,0.11347517730496454
6,5,Hololens,BarChart,Closed,T5,11/2/2020 5:31:40 PM,12.5,0.4,0.08,0.16,35.5,0.19718309859154928,0.056338028169014086,0.16901408450704225,62,0.0967741935483871,0.0967741935483871,0.1935483870967742
6,6,Hololens,BarChart,Open,T8,11/2/2020 5:34:57 PM,32,0.34375,0,0.15625,40,0.175,0.025,0.1,36.5,0.1917808219178082,0.0821917808219178,0.1095890410958904
6,7,Hololens,Network,Closed,T10,11/2/2020 5:37:56 PM,37,0.2702702702702703,0.02702702702702703,0.16216216216216217,39,0.358974358974359,0.05128205128205128,0.3076923076923077,17,0.29411764705882354,0,0.17647058823529413
6,8,Hololens,Network,Open,T11,11/2/2020 5:40:26 PM,32,0.1875,0,0.15625,38.5,0.23376623376623376,0.025974025974025976,0.18181818181818182,50.5,0.15841584158415842,0.07920792079207921,0.1782178217821782
6,9,Hololens,BarChart,Open,T7,11/2/2020 5:43:39 PM,7,0.2857142857142857,0,0.42857142857142855,23,0.043478260869565216,0.043478260869565216,0.13043478260869565,61.5,0.22764227642276422,0.13008130081300814,0.1951219512195122
6,10,Hololens,Network,Closed,T9,11/2/2020 5:46:34 PM,18,0.2222222222222222,0.1111111111111111,0.16666666666666666,33.5,0.08955223880597014,0.08955223880597014,0.08955223880597014,63,0.1111111111111111,0,0
6,11,Hololens,ScatterPlot,Closed,T1,11/2/2020 5:49:03 PM,47.5,0.29473684210526313,0.021052631578947368,0.18947368421052632,35.5,0.2535211267605634,0.11267605633802817,0.16901408450704225,38,0.23684210526315788,0.13157894736842105,0.07894736842105263
6,12,Hololens,ScatterPlot,Open,T4,11/2/2020 5:51:56 PM,13,0.38461538461538464,0,0.3076923076923077,35,0.11428571428571428,0.02857142857142857,0.2571428571428571,10.5,0.19047619047619047,0.5714285714285714,0.47619047619047616
10,1,Hololens,ScatterPlot,Open,T4,6/3/2021 8:10:02 PM,27.5,0.21818181818181817,0.10909090909090909,0.4,27.5,0.07272727272727272,0.18181818181818182,0.07272727272727272,46.5,0.17204301075268819,0.12903225806451613,0.12903225806451613
10,2,Hololens,Network,Closed,T9,6/3/2021 8:17:06 PM,33,0.15151515151515152,0,0.09090909090909091,53,0.22641509433962265,0.018867924528301886,0.11320754716981132,35,0.05714285714285714,0.05714285714285714,0.05714285714285714
10,3,Hololens,Network,Open,T12,6/3/2021 8:20:33 PM,11,0.09090909090909091,0.18181818181818182,0.09090909090909091,14.5,0.20689655172413793,0.06896551724137931,0.27586206896551724,25.5,0.27450980392156865,0.0784313725490196,0.0784313725490196
10,4,Hololens,BarChart,Open,T8,6/3/2021 8:23:28 PM,66,0.15151515151515152,0.06060606060606061,0.07575757575757576,13,0,0.07692307692307693,0,31,0.03225806451612903,0.03225806451612903,0.0967741935483871
10,5,Hololens,ScatterPlot,Closed,T1,6/3/2021 8:26:28 PM,43.5,0.06896551724137931,0.022988505747126436,0.20689655172413793,22.5,0.13333333333333333,0,0.17777777777777778,0,NaN,NaN,NaN
10,6,Hololens,BarChart,Open,T7,6/3/2021 8:28:30 PM,29,0.5172413793103449,0,0.5862068965517241,29.5,0.3389830508474576,0.1016949152542373,0.4406779661016949,7.5,0.5333333333333333,0,0.5333333333333333
10,7,Hololens,ScatterPlot,Closed,T2,6/3/2021 8:30:37 PM,4,0,0.25,0,13,0.3076923076923077,0,0.23076923076923078,35,0.11428571428571428,0.14285714285714285,0.2
10,8,Hololens,Network,Closed,T10,6/3/2021 8:32:27 PM,7.5,0.13333333333333333,0,0.4,7,0.2857142857142857,0,0,31,0.1935483870967742,0.06451612903225806,0.25806451612903225
10,9,Hololens,ScatterPlot,Open,T3,6/3/2021 8:34:06 PM,14,0.21428571428571427,0.14285714285714285,0.14285714285714285,14.5,0.13793103448275862,0,0.3448275862068966,5,0,0,0
10,10,Hololens,Network,Open,T11,6/3/2021 8:35:22 PM,20.5,0.14634146341463414,0.0975609756097561,0.2926829268292683,16,0.1875,0.0625,0.1875,29,0.06896551724137931,0.034482758620689655,0.1724137931034483
10,11,Hololens,BarChart,Closed,T6,6/3/2021 8:37:32 PM,5.5,0.18181818181818182,0,0.36363636363636365,2.5,0,0,0.4,2.5,0,0,0
10,12,Hololens,BarChart,Closed,T5,6/3/2021 8:38:13 PM,3.5,0.2857142857142857,0,0.2857142857142857,4.5,0,0,0.4444444444444444,0.5,0,0,0
